,text
35.0,"Another strong installment in the Mistborn series. I thought the plot took a while to get going but once it did it was quite interesting and the characters remain compelling. I loved everything about the villain in this book, a great character with fascinating motivations. I also appreciated all the detail about the difficulties of industrialization in Elendel."
517.0,"Very well-written; excellent character development. In several spots, the extended time spent completing the book (which Johnson refers to in her Acknowledgments) is evident: for example, Facebook no longer has ""walls,"" there are absolutely no public telephones available anywhere in 2017, and my biggest personal complaint,  no teacher, especially not a 23 year old college grad, should need ""cyberbullying"" announced to them as if the term is new or unfamiliar. Overall, an excellent view inside the lives, minds, and hearts of teens today."
290.0,"For this review and more Live Read and Breathe I know some people have said that it was too much sex and not enough story but I have to disagree on that one. Even though there was a LOT of sex I felt like that was part of the story of Bennett and Chloe. Bennett and Chloe were so much alike that created such a hate/love relationship between the two that the only outlet valve was pure hot raw sex. Once that valve was opened they were able to really see each other for what they are and what they mean to each other. I liked the love story part of it and I especially liked the very raw, unhibitied sex scenes between the two."
340.0,"3.5 stars I didn't realize at first that this is an extension of the Dark Protector series, which I did not complete. While most readers would not find this to be a stumbling block, that sort of thing drives me crazy- I always feel haunted by what I'm missing. Aside from that, the story was HOT and fast-paced, with intriguing characters that I enjoyed spending time with. I did feel that at times the hero was (dare I say...) a bit too Neanderthal. Still, a solid start to Zanetti's new series."
657.0,"Really enjoyed this one. It is not as good as the Eona Duology but this first book is obviously meant to set the foundation for the coming 2 books and as such, was slow at times but I didn't even find the slow bits to be tedious or anything of the sort and the story really picks up a fast pace in the last 200 pages or so. I genuinely can't wait to see where Goodman takes this story, it has such great potential. And as usual, the attention to historical detail is astounding. Goodman draws from real historical characters and events and I really admire a well-researched story."
296.0,"I just love these books. To quote Joel: ""This is an excellent wrap-up to Lisbeth's story and the trilogy, leaving exactly one thread hanging, and a small one at that, which is remarkable considerng it's number three in a planned run of 10. It leaves Mikael and Lisbeth in a great place, and pays off pretty much everything that was established over the previous two books. That it does so with a histrionic courtroom scene, all the better. """
227.0,"Despite whatever, I am very affected. I am incredibly sad. I can hear see and witnessed the scenes, and despite it end the way it should, I wish it didn't. I wish there's alternate ending that would let me not see those scenes repeatedly. Oh, and this story is good. The second book was a bit boring, but the whole plot is good."
221.0,"8th&up, 3.5 stars This bittersweet, suspenseful time travel romance should have plenty of appeal for teen readers. Cassie, the modern heroine, shows a lot of character growth as she changes from self-centered whiner to a confident and determined woman. Lawrence, the dreamy young man from the 1920s, goes through changes as well when he realizes that his world has a dark side that he must fight against if he is to stay true to his dreams and his heart. This book was obtained at BEA15 in exchange for an honest review."
31.0,"I really enjoyed this one. 16 y/o Janelle is a caretaker to her family due to a bipolar mother and a workaholic father. Her sense of responsibility is never damped, even when she inexplicably survives being killed in the opening. We all hear how an author has to make life hard for the character, and this book is filled with one tough choice after another. Fans of the ""it all works out"" shiny happy ending will not be satisfied, though the resolution is satisfying."
214.0,"Detective Barry Duckworth doesn't know which way to turn. Recently trouble has haunted Promise Falls, and now a mysterious and deadly illness has spread like wildfire all across the little town. When signs begin to point to a deliberate act of terror, Duckworth wonders if someone has decided that the time has come for the people of Promise Falls to pay for past sins. The Twenty-Three opens with a bang and keeps moving fast and furious throughout. Previous visitors to this creepy little town will be more than satisfied with the twists and turns that Barclay serves up. This book was obtained though NetGalley, with thanks to Berkley Publishing Group, in exchange for an honest review."
507.0,"This story had so much promise! And I love Whitney G. 's writing style; in fact, Turbulence was one of my favorite books this year. This was a cute, fast read BUT several typos later and a heroine who sends sexually explicit emails from her work account and I'm out. Moving on with high hopes for this author's next book. Call me an eternal optimist."
120.0,"I adore this book! If it wasn't for one thing, this book would have been perfect. But nothing bothers me most than when a ""sex scene"" is used wrongly, like when are in a life threatening trouble and they decide to fornicate anyway because the sex tension is unbearable. It just makes me mad. But past that, Alexia is a great character -incredible funny and witty and the right ""sex scenes"" make me giggle Obviously the book is so much more than that, a well paranormal intriguing story with an also great plot full of humor."
64.0,"You know a story is perfectly executed when you have never experienced the kind of life the main character is living, yet you find that you relate to her (or in this case, many of them). Told through various POVs and staying true to its name, this story was ugly, wonderful, and most of all moving."
137.0,"Everyone knows the basics of the true story of Lizzie Borden and the scandalous murder of her father and stepmother, but Sarah Schmidt delves into that event with a chilling and slippery tale that offers new perspective to the old tale. Readers will be drawn down into the madness of the Borden household, and they'll be left wondering about the full truth of the event until the final pages. Thanks to Atlantic/Ingram for providing this ARC in exchange for an honest review."
