text,stalebi,zhossainzadeh,adjudicated
"I do not normally like historical fiction, but this beautiful work is artful and insightful. The pace of the writing and the glimpses of life in revolutionary England and Belgium feel very real and alive, like a Merchant and Ivory movie or an old BBC Masterpiece Theater piece. And the portrait of Margaret of Cavendish, Duchess of Newcastle, her experiences, her thinking and her writing are poignantly expressed in elegant, thoughtful sketches. I am also reading Daniel Boorstin's The Discoverers and the personages in Stuart England and the age of Newton also show up here, coming delightfully alive. This is going on my favorites list.",4,3,4
"A fun adventure tale that is a tad too droll and proper for my tastes. Millet's brand of humor is cut and dried--more of the tongue-in-cheek jokes of Erma Bombeck than the twist of the angry knife humor of Deborah Eisenberg, David Rakoff or Sam Lipsyte. If you are going to criticize using humor, go for the big laugh, is my philosophy. Still, entertaining enough to be a solid summer read, a pleasant time passer.",4,3,3
"A charming, tea drinker's tale about the furtive and futile impulses of a collection of aging British upper-crusters and their household help; a collection of their scheming, their fears, their denials, and their consideration. Perhaps quite cutting edge in its day. Spoiler Alert: Everyone dies in the end.",4,3,4
"Very well-written; excellent character development. In several spots, the extended time spent completing the book (which Johnson refers to in her Acknowledgments) is evident: for example, Facebook no longer has ""walls,"" there are absolutely no public telephones available anywhere in 2017, and my biggest personal complaint,  no teacher, especially not a 23 year old college grad, should need ""cyberbullying"" announced to them as if the term is new or unfamiliar. Overall, an excellent view inside the lives, minds, and hearts of teens today.",4,3,3
"I haven't stayed up until 5am to finish a book in a while - it felt good. This was a great murder-mystery thriller, and more interesting as it's set in Sweden and deals with journalists, corporations, and hackers. Good stuff!",3,2,2
"This should be 3.5 stars. I really enjoyed it, but found it all kind of random and leading nowhere. That being said, it was very imaginative and entertaining. Hrun the Barbarian was one of my favorites, as was anything the Luggage did.",3,4,3
"Loved every second, and didn't want it to end, so I had to find a book store and buy the next two! Its a Harry Potter reading level and similar type fantasy story, but sometimes thats what you need on a long flight to NYC for the holidays! I think as a child we all daydreamed about alternate worlds, so I love how thats the basis for the book. Thinking about all the permutations of how things could turn out differently is kinda fun :) I think if I had a Daemon I would hope she'd settle on being a lynx.",3,2,3
DNF. Gave up at around 20%. Way too many grammatical and editing issues for me to continue. I also couldn't get past the simplistic and degrading nickname that Vicious had for the heroine (he called her Help) That was offensive to me. Moving on.,3,2,3
"Had the pleasure to read an early copy, and it is just a beautiful story!! A Love So Tragic is a gorgeous second-chance romance. Nic and Peyton have a passionate connection but a very rocky road to their own HEA that is emotional, sometimes painful and very, very REAL. I loved the ""rawness"" of it all. More to come closer to release day!",3,4,4
"So I really don't think you can go wrong with an Alexa Riley book. Thief was over-the-top steamy and sweet, and had lots of action, too! This is a wonderful escapist bit of erotica when you want a hot Alpha and a guaranteed HEA.",3,2,3
"I love an erotic suspense and dark romance as much as the next person but this book just didn't quite do it for me. I literally felt dropped right into the middle of a story that had already begun, which was very disorienting. While many readers are raving about this book, for me there was no connection between the main characters and many of their actions felt mechanical, and the story, formulaic. I still would love to read the other books by this author, because their story lines sound very intriguing. Giving credit here for a very strong, kick-ass heroine, and a surprising ending. (ARC provided by the author in return for an honest review.)",3,4,4
"Many readers loved this book but it just wasn't for me. I am a fan of dark romance, dark erotica, romantic thrillers, the whole nine yards so the darker elements were fine for me but I just didn't connect with the main characters. I definitely suggest giving this book a try because the story has a lot of promise but there were just too many character and plot inconsistencies for me to become invested in the story. I will read the author's other books because they sound very interesting and readers whose opinion I trust have really loved her writing.",3,2,3
"3.5 Stars Kate McCarthy is a favorite author of mine but surprisingly this book just did not do it for me. Although the book features a very strong heroine and and a talented but tortured hero, which I loved, the plot of this book fell flat for me and the so-called scandal was absolutely not scandalous in my eyes at all. Lots of readers fell in love with this book so definitely give this one a try and judge for yourself. I adore Kate McCarthy (Redemption is one of my top favorites) and look forward to her next book!",3,4,4
"Devil's Game is thrilling, sexy and funny, and I absolutely devoured every yummy word. Oh, and I love Joanna's kick-ass heroine, Em! This is Book Three in the Reaper's MC Series, and has little bit different feel than the other books in the series. Devil's Game is about family, loyalty and yes, love, with all of the delicious sexy times that I love from Joanna's books. I fell in love with these characters and highly recommend Devil's Game!",3,1,3
"There is nothing quite like a Tessa Bailey book for a good hot dose of dirty-talking Alpha. A well written story, smoking hot sex scenes and characters I actually cared make Staking His Claim a must-read. I absolutely love Matt Donovan! And since I do judge books by their covers, I also give an A+ to this steamy cover for Staking His Claim. Highly recommended. (ARC provided by the publisher for an honest review.)",3,1,3
"Quite a good read. For once an ending seemed well handled--only one small piece seemed extraneous. Some excellent character development. I had forecast a totally different ending, and mine would have worked well also, but this one was better. I find that I enjoy being right in forecasting the ending, and I also enjoy being surprised by being wrong when it is well done.",3,2,3
"4.5 stars rounded up to 5. I devoured this book. The writing was gorgeous and the book was very atmospheric and had this supernatural/eerie sense to it (at least imo) throughout. Unforunately, I thought the last 1/4 or even 1/3 of the book was rather lackluster (I give the first half of the book 5 stars and the last 1/3 like, maybe 2.5 stars) - the ending also left me feeling unsatisfied, but because I enjoyed the previous parts so much, I decided to round my rating up to 5 stars instead of 4. I have the distinct feeling that not much actually happened in this book, but the characters and the setting and mood were just so well written I didn't really care. I look forward to reading the Goldfinch.",3,2,3
"Considering most of the reviews I've seen about this book so far have been so-so, I really enjoyed it! I will say that I'm not at all a fan of scary movies and I tend to get scared very easily, so this may not be as exciting to hard core horror fans, but if you're like me and you want to dip your feet into the genre, I think this was great. Most people also didn't like the fact that the murderer gets revealed fairly early on, but the book didn't focus on who was commiting the crimes, but why they were commiting them, and I actually really enjoyed that aspect.",3,4,4
"This is the first graphic novel that I've read, so I don't have anything else to compare this book to, but I thought it was pretty spectacular! I really loved the art. I thought the story was so powerful and with such an amazing cast of characters and I loved the symbolism. It wasn't predictable at all, I was constantly surprised by what would happen next as I read. I picked this book up on a whim to try something different and I am so glad that I did!",3,4,4
"I honestly don't understand what people don't like about this book. I was expecting it to be terrible, espically because I find that I'm often not satisfied with the endings to series, but I loved every minute of this one. It was definitly creepier and more graphic, but I thought that it did a great job of explaining all of the shit that went down in the first two books. I honestly wasn't expecting to get that much closure. This was truly a spectacular series and a great ending to a great series.",3,2,2
"Mosquitoland tells it's story from a voice like no other I've read before. Our main character Mim is honest, frank, and in your face from page one and you can't help but instantly fall in love with her for it. David Arnold writes in one of the most accurately teen voices I have read in YA to date. As we travel with Mim on her cross-country journey, we are confronted with heartbreak, tackle important issues, and manage to laugh along the way. Towards the middle I felt the story start to lag a little bit, and I'm not completely on board with the way things ended, but this is an incredibly strong debut from Arnold and I look forward to reading his second book and any future books to come.",3,4,4
"After a bit of a slow start with Nine Stories, this volume shows that Angela Carter can write. She wields a broader vocabulary than any writer I can name and can write sentences that flow clear and fast. They sparkle with wit and insight. The subject matter, retold fairy tales with an erotic twist, feels a bit aged, like the darkly lit, wood paneled men's club interiors of chaste Sixties Playboy photoshoots, and there are quite a few wolves, which imagery feels overused. The libido-on-the-loose vibe pervades these stories, but the feminist messaging, if any, went right over my head.",3,4,4
"Sad yet heart-warming all at once--well written and an easy read An extremely well told tale, with an historic background that brings on the melancholy. Bad people are everywhere, sometimes right in front of you--but the most painful scenes are lightly told. The writing is very smooth and somewhat formulaic, so it is possible to skip ahead to the dialogue and not miss any story point. This enabled me to power through in 15 minute subway ride segments over the course of about ten days.",3,2,3
"I think this is the best of Aimee Bender. A contemplative exploration of the life of one L.A. family from the daughter's point of view. There are fantastical elements here, but my dull mind was able to see the beauty and insight of them.",3,2,3
"Good book for when you are sick in bed, or on a subway commute. Douglas Adams has a fine, Monty Pythonesque sense of humor. Its over fast, but apparently there is another one if you are interested. Spoiler alert: I would like to share a point where I did not LOL, but did in fact laugh out loud so hard that the subsequent coughing fit cured me of my bronchitis, viz. Question: How many roads must a man walk down? Indeed.",3,2,2
"This novel got to me on a blood sugar level, it echoes down your spine, you can feel it in your mitochondria. The writing is fresh, quick and hard. The pace is fast, and the pressure builds throughout. The movie was great, but there is a presence in the book that you do not get in the movie, and scenes in the book that are not in the movie. It hits you over the head and then it saves you. The one blot is the racist language, which I would like to believe is just a period character and not the author.",3,4,3
"3.5 stars A well-plotted story that reveals complex characters layer by ever-deepening layer, much as one might come to know persons in the real world, All the Missing Girls was a satisfying read. Although the reverse chronology worked for me for the most part, I found it annoying just past the midpoint of the book for 50 pages or so. However, the plot was compelling enough that I moved past that section/emotion - I'm not sure if that experience was related to the content or simply my tolerance - and regained the sense of being engaged and invested.",3,2,4
"I rated this book as 4 stars because of quality of writing. Parry has drawn her characters well, follows the ""show, don't tell"" principle, employs realistic dialogue, and her plot development is impressively intricate for any novel - but even more so considering this is her debut. I can't honestly say that I enjoyed the novel as several thematic elements are difficult to read about. Manhattan's underbelly in 1895 is a hard place to visit, even in one's imagination.",3,4,4
Numerous people in publishing have told me this will be the book of the year.,2,1,1
"Despite having a name that sounds like its a chic-book, this was a pretty sweet western novel. Thoroughly enjoyed it.",2,1,1
"I read this after I went fly fishing for the first time, and it was pure gold. A fantastic story.",2,1,1
One of my favorites from Grisham. The movie was good to (but of course not as good as the book),2,1,1
"I read this classic twice in high school. Its hard to like books you read in high school, but this one stood out - couldn't tell you why anymore :)",2,1,1
Man I wish I hadn't read this yet so I could enjoy it again.,2,1,1
"I know this book is supposed to be evil as its horribly inaccurate, but I had a lot of fun reading it, so I'm still giving it 4 stars. (sorry jacques)",2,1,1
4.5 Stars! LOVED this sexy-sweet and romantic story!! I fell in love with the characters in this book and absolutely LOVE this author!! I knew from the first page that I would love this romance. Highly recommend. Full review to follow.,2,1,2
"For some reason, this story did not hold my interest. Stopped at about 35% but will pick this one up again later. I usually devour KA books but I'm moving on.",2,1,1
4.5 STARS! What a beautiful and VERY different story!! Not at all what I expected! Full review to come soon.,2,1,1
"I am officially obsessed with Alexa Riley's books!! The Mechanic was a delicious, smutty, sizzling hot story with some of THE dirtiest talkers around. These books are like palate-cleansers in between the main course. Highly recommended!",2,1,2
Writing is all over the place. My first Megan Hart book. No clear point of view.,2,3,2
"Kristen did it again! The story of Frankie and Benny was just simply absolutely AMAZING!!! I could not put it down, so much so when finished I picked up the other burg books and started re-reading it to remember all the burg history. So if you haven't yet read it be sure to do sooo !!!",2,1,2
"I must say that so far I loved all of Kriten's books but I REALLY Enjoyed reading the story of Chase & Faye!! It was the perfect ending for Chace. I loved watching Faye and Chace's relationship blossom and become what they both dreamed it would. It was very cute that they both had been in love with each other for years and they finally got what they wanted. I would definitely recommend this book, once I started reading it I could barely put it down... so it's THAT good!",2,3,3
"I had read that it was merely a repeat of The Hunger Games, but decided to read it anyway. And I am glad I did. The revolutionary potential of Katniss' actions has been noted and promoted a new level of oversight and punishment. It read equally as well as the first one.",2,3,2
"Some very interesting character development, an attention holding plot. Some historic information about World War II women prisoners (though the country was changed). Once the main character became an entrepreneur, it became unbelievable, but still a fun read.",2,3,3
"Two things appealed to me about this book. First, I am fascinated by animals learning human language, had read about Nim Chimsky long ago and was fascinated by the use of sign language with animals. I appreciated the notes at the end leading to research backing the novel actions and to the comment that most of the ape - human conversation was based on real conversations, although the book was fiction. Second, it was a real page turner with twists and turns. Some events I could figure out ahead and some surprised me, a nice balance.",2,3,3
I'm currently reading Clockwork Angel and I'm liking it it is very different from the Mortal Instruments and Clockwork Princess is almost coming so I better finish the first two books (probably might borrow the second book from my friend I am also borrowing the first book from another friend),2,1,2
"I totally came into this book expecting a cliche, cheesy romance. I honestly thought the book was going to be about the MC dating twenty different boys during the summer. Luckily, I was wrong.",2,1,2
"(This, and the whole series) Needs a re-read. This was my shit in middle school but all the hate has distorted my views of this book series (phenomena, really) and I need a refresh to form my own opinion. Thus, I've abstained from rating any books in this series until I reread them again. Back when I first read them, they all would have been 5 stars. After I thought it was ""cool"" to hate on this, they'd be 2 stars. The new rating will reflect my current opinion.",2,1,1
"Since the first book fell flat, I was expecting the same from the sequel. In the beginning, it was just that. By the middle though, I was thoroughly enraptured by the book. It was VERY predictable and I predicted the ""villains"" since practically the beginning, still, that fact did not diminish my enjoyment of the book.",2,3,3
"This book is all about female empowerment while also tackling many subjects such as racism, stereotyping, and sexuality. Seriously, it covers EVERYTHING. Feminism ftw. I like how it doesn't take itself too seriously though.",2,3,2
"I was gonna give this book 3 stars, but I decided on 2 because justifying attempted rape is never o.k. I felt like this book set out to be one of those deep, pretentious books that set out to give you life lessons. I will admit that it did a good job of not being pretentious. It was extremely emotionally manipulative, however.",2,4,3
"It was an easy, quick read. Heard some good things about it so I'd thought I'd check it out. Was pretty disappointed after I read the book. It isn't all that great and there were many times where I just wanted to strangle the main character for being so slow and dumb and unable to comprehend the events that were clearly happening right in front of her. I didn't understand where the book was going with the romance, one moment one guy would be just friends with her and then all of sudden, he suddenly decides that he is in love with her. Overall, just like my rating shows, the book was o.k.",2,3,3
"Ending happened a little fast for me, but I loved the style and felt like the telling of the story was creative. Stylistically, one of the more interesting and engaging books I've read this year.",2,3,2
"This book was everything. I actually think I liked it a little more than the first one. (Only a little, because the first one was amazing, but still.) I never thought I would like this series as much as I do now. How these books manage to pack in so much action and create such great characters in the format that they do is incredible to me.",2,1,2
"A less than riveting examination of the internal psychology of two messed up kids. Good description of some interiors of Paris and interiors of a ruthless couple and their creepy mother in law. The BBC did a film version of this which I cannot forget 25 years later. The book is decent, but my mind will never forget the images of the film version.",2,3,2
Everything we believe about pirates comes from this story. Yo-ho-ho! And Long John Silver is a character like no other--except perhaps the Devil himself in Paradise Lost. Rip-roaring adventure!,2,1,2
"After the monastery scene, at the point of encounter between the father's servant and the middle son, the narrative engine kicks into high gear and doesn't stop until the end. Which ... makes it sounds as if I only care about plot... No, I just want to encourage people to read it. This is a novel of real, finely drawn characters, and ideas that are rarely considered today-- just cheapened to some UTube debate. Anywho, its a wonderful book.",2,3,2
"Note: This book contains very graphic descriptions of violence to women. It's well-plotted, highly suspenseful and fast-paced. However, I object strongly to the gratuitous descriptions that in no way enhance the story.",2,3,2
"Recommended reading to understand what is going on in middle america, and possibly better explain why Trump won. http://www.npr.org/2016/11/09/5013826...",1,2,2
Great book about Galileo from the perspective of his daughter.,1,2,1
"4.5 stars, scorching hot sex scenes and great characters but the grammar took away from my enjoyment of the story.",1,2,2
"Five stars to Sempre. Deeply felt, moving love story of loss and redemption. Carmine and Haven will fill your dreams.",1,2,2
AWESOME SEXY READ!!! Only problem I found with it was that it ended a bit suddenly and I feel like I was left hanging. Not in a cliffhanger kind of way but I just wanted a bit more on their HEA... But other than that it was a great read.,1,2,2
"AWESOME READ!!! I loved to story of Aiden and Emma. It was a little predictable but in a very fun, easy read sort of way. can't wait to start reading the proposal!",1,2,2
"Another end of a great series. A great way to end the series, too. ;_______; Everything was properly sequenced and I never get tired of Marie's alternate POVs unlike other books where it feels like there's only one narrator speaking even if there is two. ((Also, am I the only one who's interested in Antarctica??? That place is so cool))",1,2,2
It started off slow and it didn't really go anywhere until near the end. The romance was predictable and some twists were o.k.,1,2,2
"It was o.k. Maybe it's just me but I was annoyed at how Ethan had to mention his undying, unyielding, eternal love for Lena practically EVERY.OTHER.PAGE. Like, OKAY, WE GET IT ETHAN. YOU LOVE LENA. WE KNOW. WE'VE READ THREE WHOLE BOOKS ABOUT YOUR GUYS' LOVE PRIOR.",1,2,1
"I swear this took me like a month to read...still, it was seriously amazing. Heathcliff is so unlikable but you just can't help empathizing with him",1,2,2
"After 10,000 years I have finally finished this book. There was a lot of telling not showing.",1,2,1
"Don't read in public. You are going to cry. There is no point fighting this, they're good tears.",1,2,1
Third read through. Still can't make it all the way through without calling friends who haven't even read the book to ugly cry.,1,2,1
** spoiler alert ** Paranormal. 3 different modes of death. Character dead.,1,2,1
"This started out really well, with magic, mystery and intrigue but then it devolved into an insta-all consuming love story and I...Just....Couldn't.",1,2,1
3.5 - 4 Stars! Fans of strong Alpha heroes and military romance will like this one. There is lots and lots of swoony romance and a very dramatic plotline. If you want to lose yourself in a romantic story then this is the book is for you.,,2,2
Please please please don't let there be typos in the finished book like there are in the Goodreads summary!,,1,1
4 1/2 beautiful stars. Loved it. Review to follow.,,1,1
"Liked this better than the first book. This is speculation since I haven't read the 3rd book yet, if the author makes it so Seth was actually just using her I will be angry because I HATE when authors do that. I hate when they take a seemingly sweet, genuine guy and turns him into a douche so the reader will root for the other guy. UGH.",,1,1
"This started off with a bang, absolutely hilarious! This series should probably be read in order and I will defintiely read the first book to see what all the fuss is about. Tapping Her is a super-quick, very dirty and very funny bit of romantic comedy, with some laugh-out-loud moments and a great male POV. There is nothing emotional or angsty about this book and it's just a little something to pick up in between heavier reads. Not too much of a plot here, so don't expect War and Peace.",4,4,4
"One of the most amazing things about this book was that in spite of knowing the ending, it was suspenseful through and through. The second amazing thing is that it explained rowing to someone who had no clue (me) and little interest in sports in such a way that it was clear but not too much. The story of the road to the Olympics is told mostly from the perspective of Joe Rantz;however, as he requested, it is told in the context of ""the boat""--more than the shell that they propelled with oars, ""the boat"" is the spirit of the team working together in perfect harmony. The physical boat too is a character, and Pocock, its maker, stands out as one filled with wisdom about people as well as rowing and boat building. The story is told in the context of the Depression, the Dust Bowl, and the drums of encroaching World War II. Joe's surmounting of personal struggles as well as economic is admirable.",4,4,4
"This is the first Erdrich novel told from one character's point of view throughout that I have read, and it is well done. Erdrich uses a few sneaky ways to get other peoples' information into the story, but they are believable (even the dream stories). I was glad to see familiar names. Nanapush has a significant role, and others make a cameo appearance (Father Damien, a character from The Bingo Palace, and two other families whose names I recognized but can't think of now). There is an interesting balance between the tense plot moments and boyish day-to-day moments as the plot moves inevitably onward to a satisfying ending. We really get to know the major characters, and I found most quite likeable.",4,4,4
"This book left me dead inside. Even though this book is clearly a retelling about the Queen of Hearts from Alice and Wonderland, I'm a little shell shocked by the ending of this book. I will say that I read the original Alice's Adventures In WonderLand and Through the Looking Glass in preparation for this book, and oh my goodness that was the best decesion I could have ever made. If I thought I was impressed by Meyer's ability to craft retellings when I read the Lunar Chronicles, that was truly nothing after reading this book. The amount of references to the original text and the way she crafts this story to make sense with the originals is absoultly amazing. If you aren't very familiar with WonderLand, I highly recommend reading Lewis Carroll's work before diving into this.",4,4,4
"This book was so original; I've never read anything like it. The symbolism blew my mind and was absolutely beautiful, especially the scene describing the tapestry. There were plot twists in this book that I could have never seen coming and couldn't stop reading to find out what would happen next. I had some small problems, and it realistically is probably more like a 4.5 for me, but there were parts that made me so happy that I just had to bump it up to 5 stars.",4,4,4
"I think I'm finally really getting into this series now! I have a lot more respect and interest for the characters after this book--finally. Unfortunately, I found the first half of this book really slow and that's why I couldn't give if five stars, but the second half was definitely worth five on its own. I can't wait to read the next book now! I also was not a fan of the fact that we were finally introduced to an LGBTQA+ character in this series, only to have him killed off for dramatic effect. I know there is a lot of death in this series, and usually I love that it keeps the plot interesting and keeps me guessing about what will happen next, but I was really excited to finally have that diversity in this story and I don't think she should've taken it in that direction",4,4,4
"As far as trilogy wrap-ups go I think this one finished quite nicely! It had an overall happy ending but with enough loss and heartbreaking moments to make it believable. Beautifully written as always (I think that's to be expected from any of Oliver's books). The only thing that I wished would've been done differently is that the ending felt very rushed to me. I felt like majority of the book could've been sped up to give her more time to drag out the ending and make it more detailed and give us more or an epilogue, or she could've just made the book longer to wrap it up a little bit more. I thought the way that it ended was beautiful, I just would have liked a little bit more.",4,4,4
"This is the best book I've read in a really really long time. I could feel myself slipping into a reading slump and I'm so thankful I picked this book up when I did because it managed to engage me like no other book I've read in a seriously long time. The best thing about this book is that it's so completely unique and different than anything I've ever read. Usually, I'm always drawing connections in my mind between books while I'm reading but this book really created a world of its own. I had absolutely no idea where the plot was headed or how things would resolve and I didn't see any of the plot twists coming, which is really rare for me because I've found that lately I usually always can tell where books are headed and see the plot twists coming before the main character. Despite the very dark tone of this book, Sabaa Tahir's writing style is so elegant and the themes and characters in this book were so beautiful.",4,4,4
"I put off reading this book for almost a year, and after finally reading it, I didn't find myself pleasantly surprised. It was pretty much exactly what I expected it to me. For one thing, the style of writing really bothered me (there was too much passive voice and it didn't suit the tense at all) and I disliked almost all of the characters. There were so many of them that you didn't really get close to any as an individual. I didn't really care what happened to the characters or the overall ending of the book, and was unclear on the whole concept of endgame to begin with. Even though they said the word Endgame almost 100 times, they never really clearly gave a description as to what it was.",4,4,4
"One of the best histories of any age I have ever read. Graves brings to life the remarkable awfulness of life within the Roman Empire, and demonstrates with alarming exactness how bad people can be, given motive and opportunity. The maxim that power corrupts and absolute power corrupts absolutely is demonstrated here in spades. Paranoia and bloodlust within the few ruling families of ancient Italy are rampant, but the level-headed Claudius holds your faith that good might ultimately ""triumph"" (i.e., until the whole thing goes downhill again--why can't human society ever achieve sustained equilibrium?). I can understand now how Italy tolerated the buffoonish Prime Minister Berlusconi for so long. Compared with their Imperial past, his antics were a walk in the park.",4,4,4
"The pace is slower than Hobbit and there is much more scenery, but the story somehow manages to hold one's interest. There is an adventure underneath the overgrowth; and perhaps there is some use for this surfeit of nature--like the green of the surrounding garden, a comfortable home (as per Japanese architecture) is not complete if it does not interact with its environment. The power of the Ring is well depicted--my sons would sometimes scream in warning as Frodo fingered the ring, ""Don't put on the ring!!!"" Thank you for the memories, J.R.R.",4,4,4
"A sad tale of love, where the lovers do not understand their own motives, or, if they do, they fail to listen to them. The young woman should have married the man she loved rather than the one who came from England. The man treats marriage as a box to check on his life menu. The locals are watching helplessly as this marriage inevitably hits the rocks. Some really beautiful writing in here.",4,4,4
"This well written update to Catcher in the Rye depicts the confusion of high schoolers trying to find their way into adulthood. At first I mistook ""wall flower"" as code for a gay character, but it turns out that the author character is only a wimp, a soft-hearted crybaby, who I am surprised is not beaten, or at least ostracized by the end of the story, because that is the likely result of such a personality at my high school, which pre-dates the era in which this was written. And Ohio, my home state, is not far, or different, from Pennsylvania. Of course, he has to be soft-hearted in order to get away with some of the scenes he is witness to here. Nonetheless, he does a decent job of teasing out the small hypocrisies, the animal instincts, and most of all the sadness of the whole high school experience.",4,4,4
"Principle thesis: black Americans (and, by extension, any minority) might in actual result have been better off over the last 50 years with some form of (voluntary?) segregation, to the extent that such segregation could fire an angst to excel against the cracker powers. The thesis is troubling to the alluvial plain of the post-Civil Rights movement in America's political-culture, but the writing itself is a blazing scrim of hip-hop cultural riffing that leaves no bleeding heart do-gooder unscathed, no conservative talking head unsullied, no cultural sellout untouched, and no stone (or Molotov cocktail) unthrown. That is to say, it is very sharp, fun, and painful to read. Rated PG-13.",4,4,4
"A creepy Lolita-like tale brought wittily up to date by a very sharp writer. Although some of the scenes are a touch too graphic for my tastes, the unfailing narcissism and blindness of the protagonist propel the story and the humor forward through increasingly you-have-got-to-be-kidding plot developments. The pages are filled with insightful, quirky, dark humor. And there is a sadness flowing through the narration that is barely visible until the very last scenes when there is a sense of boundless devastation. Although in the story there is only one prosecution, in the course of the narrative, everyone, society included, is indicted.",4,4,4
"Egan shows brilliance in all categories of insight and description in this wonderful novel about turn of the century America. From the unbalanced professor of history of American industry to the soul sellers of the dot com bubble, all ring true and melancholic. The sadness of the passage of time and the strangeness of the existential experience, themes she revisits in Goon Squad, are starting to develop here.",4,4,4
"Many of these stories are effused with the lingering emotional aftermath of the unspoken war just ended. An ineffable sense of mourning plays through the words and actions of broken or confused ex-soldiers interacting with untouched civilians. Other stories carry a long melancholic nostalgia for childhood innocence, or a just a nostalgic melancholy, with small jokes and odd details to lighten the mood, a contrast of adult versus child, a crushed innocence. I very much liked the fact that the book cover is exactly the same design as the one that sat on my father's shelf when I was a boy, thus invoking in me my own melancholic nostalgia.",4,4,4
"Coupled with Flannery O'Connor's 'all the stories' collection, I was touring life in 1950s America. It was a bigoted, closeted, pleasant time, when people dressed well, read hard boiled pulp and didn't stick their noses in other people's business. I enjoyed greatly the description of all the little jobs that have irretrievably faded into history; the elevator operators, the western union offices, the man who has a job at a local bank in the next town, and having that job, makes enough to own a home in a nice neighborhood and raise a family. Where did these jobs go? Milton Friedman and his classical economist ilk sent them all away, across the borders and the oceans, because it's cheaper for the consumers, you know, those other people who have the good jobs, not the ones who are going to lose theirs when we throw their jobs onto the slag heap of there must be a better way. ... And I find that I have become a raving old coot.",4,4,4
"A quirky little (i.e., quickly read) novel, a sort of Twilight Zone of a situation, in which you can predict the direction fairly clearly, but it is creepy nonetheless. The direction of the story is much like The Lottery, a sort of community of oppression, but also fairly worn. The cousin, the interloper, is a practical business type, who can't stand quirkiness, who will not stand for oddity, and his appearance spells trouble. You sort of end up rooting for the person who seems like the source of the problem, but who is also somehow strangely innocent, as against the practical outsider, the snake who enters the garden and ruins everything.",4,4,4
